zero crossing, spectral centroid, genre
12, 25.31, hiphop
12, 21.92, hiphop
13, 29.65, hiphop
6, 10.1, hiphop
1, 17.41, hiphop
27, 29.58, hiphop
0, 11.15, hiphop
10, 18.32, hiphop
4, 2.55, hiphop
17, 5.36, hiphop
13, 13.1, hiphop
16, 15.91, hiphop
9, 25.38, hiphop
34, 1.93, hiphop
13, 16.21, hiphop
5, 11.66, hiphop
15, 12.31, hiphop
9, 26.54, hiphop
5, 17.18, hiphop
11, 2.93, hiphop
11, 17.86, hiphop
0, 29.56, hiphop
6, 10.57, hiphop
7, 23.5, hiphop
17, 22.41, hiphop
29, 10.89, hiphop
30, 19.16, hiphop
9, 9.82, hiphop
10, 10.54, hiphop
18, 11.77, hiphop
27, 2.02, hiphop
16, 22.96, hiphop
5, 10.36, hiphop
29, 6.5, hiphop
15, 2.72, hiphop
1, 21.41, hiphop
0, 16.65, hiphop
8, 29.98, hiphop
0, 0.86, hiphop
3, 9.15, hiphop
10, 1.02, hiphop
13, 23.17, hiphop
3, 15.6, hiphop
3, 4.09, hiphop
21, 1.21, hiphop
3, 9.15, hiphop
10, 4.74, hiphop
4, 2.11, hiphop
2, 16.63, hiphop
25, 4.02, hiphop
1, 13.49, hiphop
2, 11.22, hiphop
18, 21.15, hiphop
19, 26.42, hiphop
9, 16.53, hiphop
5, 27.14, hiphop
11, 12.91, hiphop
3, 17.81, hiphop
22, 26.7, hiphop
5, 6.15, hiphop
3, 22.52, hiphop
1, 15.67, hiphop
1, 8.61, hiphop
1, 7.08, hiphop
11, 6.22, hiphop
5, 9.8, hiphop
4, 0.86, hiphop
24, 7.41, hiphop
12, 29.02, hiphop
19, 9.33, hiphop
2, 18.0, hiphop
74, 0.39, hiphop
2, 28.33, hiphop
0, 5.04, hiphop
7, 22.11, hiphop
1, 11.47, hiphop
7, 29.88, hiphop
9, 27.7, hiphop
7, 29.88, hiphop
5, 18.25, hiphop
19, 13.61, hiphop
1, 0.91, hiphop
23, 13.21, hiphop
9, 26.08, hiphop
15, 2.28, hiphop
28, 27.77, hiphop
0, 6.39, hiphop
32, 20.78, hiphop
11, 18.67, hiphop
8, 16.0, hiphop
10, 24.43, hiphop
9, 0.33, hiphop
12, 23.22, hiphop
20, 4.57, hiphop
1, 6.5, hiphop
16, 3.6, hiphop
22, 4.39, hiphop
8, 23.08, hiphop
0, 17.67, hiphop
6, 23.29, hiphop
15, 7.57, pop
14, 5.5, pop
13, 19.04, pop
15, 1.18, pop
10, 27.47, pop
3, 8.61, pop
4, 3.69, pop
22, 22.71, pop
3, 19.13, pop
31, 3.53, pop
14, 10.91, pop
2, 12.03, pop
8, 23.85, pop
1, 18.41, pop
13, 20.85, pop
28, 18.76, pop
13, 25.89, pop
9, 3.76, pop
10, 19.99, pop
13, 5.04, pop
13, 9.43, pop
7, 2.21, pop
76, 18.81, pop
25, 26.89, pop
13, 16.9, pop
4, 5.36, pop
8, 6.2, pop
4, 4.78, pop
11, 4.06, pop
7, 2.07, pop
9, 29.21, pop
4, 29.23, pop
12, 7.22, pop
11, 12.65, pop
6, 15.79, pop
6, 12.82, pop
19, 5.43, pop
7, 15.26, pop
17, 9.4, pop
10, 23.52, pop
3, 6.64, pop
5, 8.29, pop
10, 5.83, pop
11, 13.7, pop
9, 13.58, pop
5, 21.8, pop
1, 28.77, pop
9, 24.47, pop
27, 19.37, pop
9, 1.76, pop
1, 12.19, pop
17, 19.39, pop
31, 4.39, pop
2, 27.47, pop
11, 7.92, pop
2, 25.17, pop
22, 6.41, pop
7, 4.37, pop
1, 1.09, pop
14, 6.39, pop
11, 7.92, pop
4, 0.12, pop
9, 10.15, pop
8, 5.48, pop
25, 24.13, pop
10, 25.26, pop
11, 14.56, pop
17, 18.97, pop
9, 11.7, pop
0, 18.48, pop
1, 14.72, pop
17, 18.97, pop
10, 12.14, pop
35, 8.45, pop
4, 11.22, pop
7, 13.17, pop
15, 3.55, pop
57, 6.55, pop
15, 22.89, pop
7, 1.28, pop
24, 24.4, pop
8, 18.3, pop
5, 6.5, pop
7, 28.58, pop
5, 5.64, pop
33, 20.81, pop
28, 8.96, pop
3, 15.3, pop
42, 10.22, pop
13, 27.17, pop
6, 15.28, pop
6, 15.98, pop
7, 1.16, pop
13, 21.85, pop
10, 15.19, pop
13, 6.2, pop
2, 25.82, pop
64, 3.16, pop
13, 8.13, pop
3, 25.59, pop
